strategy,TMR_sum,FD_sum,GHG_sum
113,37786485342.555046,153778271.35543436,48393479434.804085
114,37663422609.66953,153765883.47037718,48396259449.55165
115,37540381951.08617,153753518.28987852,48399019627.04909
116,37417363536.474495,153741178.24175406,48401760261.97927
117,37294367698.13473,153728861.827949,48404481609.31101
118,37171393874.27871,153716573.92677253,48407182479.868195
119,37048444337.18451,153704307.34508058,48409865433.84144
120,36925516567.846924,153692070.90549043,48412527275.58542
121,36802613938.79251,153679854.3611888,48415170771.27883
122,36679736138.55268,153667661.22910255,48417795705.11608
123,36556881997.14927,153655495.1675391,48420400953.660675
124,36434052945.16148,153643352.9484349,48422987431.85647
125,36311249798.872986,153631230.6728249,48425555576.54099
126,36188471361.51883,153619139.40268597,48428104064.15078
127,36065719808.14911,153607066.23459294,48430634509.74263
128,35942994550.23271,153595018.27320436,48433146848.39384
129,35820295725.29092,153582993.68086976,48435639941.95474
130,35697624211.25846,153570994.0297197,48438115236.55795
131,35574980274.5313,153559014.2447368,48440572513.53939
132,35452363154.99114,153547060.84995922,48443010976.548035
133,35329774810.4156,153535129.0958028,48445431475.92674
134,35207213761.198044,153523223.72361246,48447833956.259735
135,35084682410.26726,153511337.73455104,48450218661.45363
136,34962180702.39806,153499474.07838744,48452586947.936516
137,34839706333.13173,153487636.1875865,48454935363.970825
138,34717263103.86322,153475818.43878376,48457267577.20999
139,34594849014.597626,153464025.376616,48459580976.68381
140,34472465416.64794,153452253.60636848,48461878136.174614
141,34350114130.017345,153440496.96653676,48464159552.99658
142,34227790950.663055,153428773.31319132,48466420667.77524
143,34105501009.425354,153417064.08625558,48468666799.82027
144,33983240878.082207,153405384.48446923,48470894400.26526
145,33861013850.10887,153393720.49525526,48473106493.342
146,33738818591.396214,153382079.7892151,48475301293.893616
147,33616654877.29578,153370462.67869964,48477478252.35535
148,33494524593.25539,153358865.65979245,48479639537.659195
149,33372427579.431496,153347287.43272868,48481784512.90721
150,33250363286.968147,153335735.86929724,48483913124.6117
151,33128333033.249557,153324199.58740842,48486024905.168785
152,33006336058.896927,153312687.59220353,48488120469.17022
153,32884373285.94843,153301196.78683618,48490199775.87982
154,32762444865.72811,153289727.62203094,48492262973.318146
155,32640550380.433773,153278280.83854908,48494309613.79444
156,32518691806.991386,153266852.03043848,48496340786.07378
157,32396868434.72745,153255444.01603115,48498356804.98077
158,32275079522.17513,153244058.13662082,48500355649.22074
159,32153326942.888954,153232691.6171037,48502339467.544586
160,32031610393.87873,153221345.3783795,48504307922.16405
161,31909930829.204727,153210017.89017364,48506260985.51687
162,31788286036.920135,153198716.46875566,48508197611.31019
163,31666680164.65129,153187428.5082016,48510120714.20121
164,31545108680.607204,153176167.45648575,48512025639.9173
165,31423576572.092113,153164920.5837678,48513918374.70851
166,31302080686.37308,153153697.07885227,48515794435.22136
167,31180623387.047268,153142491.84170887,48517655907.666016
168,31059203618.229256,153131307.71916944,48519502240.52344
169,30937822041.020634,153120142.43854696,48521333654.877914
170,30816479179.84012,153108996.1933575,48523150731.51651
171,30695174721.778923,153097870.02661878,48524952526.75848
172,30573908395.675476,153086767.62010714,48526738616.24314
173,30452683140.87781,153075676.53770736,48528512179.279495
174,30331496204.492256,153064611.01399085,48530270616.277855
175,30210348797.73354,153053563.82889536,48532014485.614464
176,30089242119.4693,153042533.14475167,48533744663.975525
177,29968174506.801495,153031522.79821005,48535459615.26732
178,29847148235.636597,153020530.37283316,48537161257.61338
179,29726161824.05493,153009557.88439155,48538848011.881546
180,29605215109.831623,152998609.1294785,48540520296.701294
181,29484310720.215538,152987674.90349197,48542179462.91874
182,29363447214.68747,152976758.78368938,48543825019.67759
183,29242625792.968513,152965859.93625996,48545457037.31831
184,29121844125.51027,152954985.37629947,48547073762.04473
185,29001105414.201424,152944126.83129895,48548677908.52132
186,28880409837.16607,152933282.4172731,48550269199.0278
187,28759755042.429543,152922461.53738722,48551845846.50696
188,28639143202.48525,152911655.93386552,48553409228.38008
189,28518574478.282146,152900868.88378406,48554960333.15774
190,28398047025.04846,152890103.7439658,48556496472.5814
191,28277563841.442654,152879355.0570949,48558020549.87765
192,28157123882.930973,152868620.56993812,48559531281.505936
193,28036726725.30197,152857908.8945282,48561028438.15611
194,27916373945.32388,152847213.52840605,48562513001.75505
195,27796064607.140606,152836534.5075202,48563985294.984566
196,27675798909.869602,152825874.7499316,48565443168.92657
197,27555577409.987255,152815235.70279023,48566888680.58806
198,27435400625.34543,152804610.0916664,48568322008.43324
199,27315268443.88364,152794003.8206147,48569742398.9236
200,27195181178.2413,152783413.54108876,48571150802.61657
201,27075138183.58334,152772844.81349233,48572545161.80353
202,26955141049.729195,152762289.37588432,48573928283.40684
203,43021589807.80346,171559240.9050216,52154963867.89784
204,42795062418.83196,170529202.14198297,51933496372.410065
205,42572540534.45612,169517375.5393745,51715945382.53013
206,42353911770.78814,168523251.421804,51502200351.58223
207,42139067042.00338,167546333.69683433,51292155108.45023
208,41927901835.91892,166586147.71511796,51085707341.75549
209,41720315244.52686,165642238.948868,50882758432.32102
210,41516211717.04599,164714161.38887894,50683214637.28921
211,41315496784.66315,163801495.97136158,50486984057.55263
212,41118080211.094536,162903833.35025865,50293978281.45548
213,40923877333.74288,162020775.77018532,50104114328.730644
214,40732802725.28963,161151947.05995375,49917308995.818825
215,40544776618.92693,160296978.30697376,49733484125.14123
216,40359720895.80533,159455518.49709332,49552563609.96947
217,40177560784.95015,158627223.84139857,49374473955.055786
218,39998223119.934296,157811767.80755883,49199143711.062454
219,39821638153.2741,157008831.484155,49026505220.1118
220,39647739183.2677,156218100.32966167,48856492263.73915
221,39476459536.72338,155439285.09944752,48689040325.742096
222,39307736483.387825,154672093.12018585,48524088065.7182
223,39141509094.55434,153916248.8661351,48361575943.366875
224,38977717295.36869,153171484.0451761,48201444642.57203
225,38816305179.20535,152437534.4600026,48043640202.17963
226,38657216385.60464,151714150.22089174,47888107471.66064
227,38500397083.05968,151001087.97797528,47734793409.28855
228,38345795692.90824,150298111.33600286,47583647554.842285
229,38193361666.30685,149604990.7037772,47434621192.642746
230,38043046483.86083,148921502.0013482,47287666306.56384
231,37894802166.338425,148247436.11943138,47142735787.90003
232,37748583975.721954,147582577.38641092,46999786466.69101
233,37604346486.79804,146926725.49308643,46858773372.04927
234,37462046872.74651,146279687.09200984,46719654862.1737
235,37321642989.56278,145641268.02583355,46582390212.16579
236,37183094305.7602,145011288.37557623,46446939233.36193
237,37046362273.687195,144389561.23160577,46313263978.55822
238,36911406796.13298,143775917.91810453,46181326026.12944
239,36778191464.89599,143170191.34498286,46051089344.24343
240,36646681365.33452,142572208.4279977,45922519577.26911
241,36516839166.49539,141981818.57440597,45795580876.850235
242,36388631813.40182,141398863.66866857,45670240454.93419
243,36262027180.06167,140823188.5133858,45546466697.84255
244,36136991147.47241,140254652.55286872,45424226912.693306
245,36013493930.88038,139693108.41970408,45303491040.29105
246,35891503498.92016,139138421.2073465,45184228844.34801
247,35770991134.036606,138590452.92431605,45066411522.77298
248,35651928096.052864,138049073.02629006,44950010892.42919
249,35534285315.080574,137514156.1012871,44834999147.664345
250,35418036354.1653,136985573.3740995,44721350057.95759
251,35303154649.45535,136463205.89624932,44609037697.2171
252,35189613437.90574,135946936.13444328,44498035996.56945
253,35077387630.041595,135436648.39568138,44388320212.6262
254,34966452788.855515,134932230.10008472,44279866618.25204
255,34856785583.73429,134433572.43880525,44172652105.89089
256,34748360954.511826,133940570.86906391,44066652791.29793
257,34641157564.63933,133453120.0413928,43961847082.10725
258,34535152216.87483,132971121.03521939,43858212835.450645
259,34430324349.37365,132494470.75113545,43755729857.60906
260,34326652445.044365,132023075.03217362,43654376961.86895
261,34224115131.50837,131556841.68742493,43554133467.32165
262,34122693020.600655,131095679.63201278,43454980092.10862
263,34022366272.182625,130639497.96962044,43356897531.05885
264,33923116258.5679,130188208.83302984,43259867770.27676
265,33824923224.511406,129741730.02218308,43163871612.83152
266,33727769957.595936,129299975.77756494,43068891399.12951
267,33631637619.033955,128862868.84932108,42974909733.47315
268,33536509761.61471,128430325.66448858,42881909997.631805
269,33442368900.84301,128002272.112022,42789875287.69253
270,33349198475.067986,127578631.32293431,42698789317.90663
271,33256982636.635105,127159328.97389412,42608636644.22103
272,33165704462.36241,126744295.7777573,42519400746.084305
273,33075350371.923283,126333457.56443149,42431068051.63673
274,39141509094.55434,153916248.8661351,48361575943.366875
275,39134268422.68521,153836715.31289983,48355825407.41408
276,39127027750.8161,153757181.75966445,48350074871.46126
277,39119787078.946976,153677648.20642915,48344324335.50846
278,39112546407.07786,153598114.65319383,48338573799.55566
279,39105305735.20873,153518581.0999585,48332823263.60286
280,39098065063.33962,153439047.5467232,48327072727.65007
281,39090824391.4705,153359513.99348783,48321322191.69726
282,39083583719.60137,153279980.4402526,48315571655.744446
283,39076343047.732254,153200446.88701725,48309821119.79165
284,39069102375.86314,153120913.33378193,48304070583.838844
