strategy,TMR_sum,FD_sum,GHG_sum
142,-141881046.63984358,10297478.481676182,2219134929.8055115
143,-144304630.19130296,10297478.926308535,2219369857.9789076
144,-146729053.88343683,10297477.986416293,2219603740.058348
145,-149154974.2177264,10297480.71329076,2219836512.878216
146,-151581831.85014167,10297482.68925626,2220068747.9404125
147,-154009950.39356294,10297485.038380502,2220299868.5127597
148,-156438134.2609307,10297483.670806503,2220530309.8742905
149,-158868711.2396165,10297488.692434665,2220759335.6576223
150,-161299124.65785336,10297488.670973374,2220987725.6708045
151,-163732175.6148169,10297494.324801996,2221214314.610647
152,-166165409.88113338,10297499.924514929,2221440566.5584097
153,-168600287.9403691,10297505.302673139,2221665312.927948
154,-171035627.9053581,10297511.700669488,2221889234.495697
155,-173471284.20484313,10297514.977230417,2222112970.293028
156,-175909555.96640408,10297525.093444712,2222334144.3601522
157,-178347025.974341,10297529.922920875,2222555444.159657
158,-180786164.71554792,10297535.891637927,2222776281.5028667
159,-183226087.637463,10297546.323920058,2222995118.1970983
160,-185666883.30459476,10297552.590854254,2223213599.81273
161,-188108612.20366308,10297560.002917835,2223431188.5815034
162,-190551324.80525327,10297571.400316808,2223647486.3649664
163,-192994459.35038012,10297580.820863241,2223862973.6467066
164,-195438608.6399811,10297589.79037162,2224077873.2113233
165,-197882725.14966947,10297598.984809317,2224292104.33627
166,-200328871.2149094,10297611.199883701,2224504377.989534
167,-202775494.28548837,10297622.874611976,2224716189.840288
168,-205221967.26329955,10297632.138810072,2224927442.740567
169,-207670472.6022606,10297646.07552267,2225136425.664192
170,-210119658.0433805,10297661.440942068,2225345253.96877
171,-212568269.26680857,10297672.641358938,2225553708.516772
172,-215018268.48959976,10297685.750275178,2225761450.8116975
173,-217469909.31571674,10297703.648205595,2225966850.4767528
174,-219921033.2601298,10297718.580362655,2226172111.0727468
175,-222372404.32996094,10297731.363454258,2226376700.5509205
176,-224824260.71674457,10297745.31246651,2226581158.8061323
177,-227277624.20881626,10297762.082726814,2226783328.4606957
178,-229730452.59430644,10297775.519595262,2226985853.247883
179,-232185142.34976166,10297794.930595111,2227186428.3281937
180,-234640350.41620794,10297813.726878203,2227386150.652268
181,-237095348.5547427,10297831.777538063,2227585337.080632
182,-239550491.25644878,10297846.900827907,2227784189.1467714
183,-242006921.14270374,10297866.947418712,2227981108.0176272
184,-244464399.8359834,10297887.35758872,2228176935.208082
185,-246921364.11394173,10297907.63791347,2228372870.885548
186,-249378590.50167185,10297925.007861622,2228567650.303013
187,-251836312.11942548,10297944.417250294,2228762074.542168
188,-254294235.54256973,10297963.521664677,2228955659.2116776
189,-256753826.47937903,10297986.477554347,2229146932.0426826
190,-259212024.32398236,10298005.131662408,2229339293.840602
191,-261671873.68835968,10298028.82480189,2229529595.644731
192,-264131492.88106644,10298050.045021491,2229719124.4061327
193,-266592344.39779636,10298074.23816815,2229907851.6652536
194,-269052653.1772882,10298097.07099357,2230095858.964754
195,-271512742.0329525,10298117.807821043,2230283698.577209
196,-273974109.00394195,10298141.214474922,2230469653.320042
197,-276435472.3079993,10298165.28406421,2230655797.309022
198,-278897560.92413586,10298193.41007641,2230840118.032775
199,-281359293.03175956,10298214.863268692,2231023496.240826
